#
# Akira, är det anime och japan?
# Vad menar jag med /(*)? Jag hade skrivit * framför positionen tidigare.
#		=> Skulle kunna vara att den är del av en "samling" (t ex Bond).
#
#kategori:§animerat
#kategori:§astrid
#kategori:§beck
#kategori:§bond
#kategori:§dokumentär
#kategori:§eget
#kategori:§fantasy
#kategori:§fel
#kategori:§halloween
#kategori:§japan
#kategori:§jul
#kategori:§krig
#kategori:§melbrooks
#kategori:§sf
#kategori:§stallone
#kategori:§stephenking
#kategori:§sverige
#kategori:§wallander
#kategori:§western
#kategori:§zoombie
#
#kategori:§nintendods Konverterat till *nintendods
#kategori:§ps3  Konverterat till *ps3
#kategori:*xbox Konverterat till *xbox
#
#format:*xvid
#format:*vcd
#format:*scr
#format:*dvd
#
#location: 
#
#language:#audio/subtitle (en, se, ???)
#
#destinaton:&ms (mediaserver)
#
Göta Kanal 3	    		§wanted
Nikita				§wanted
Starship Troopers II		§wanted
Hsorterat	Paranormal Activity	*dvd, #en/se
Hsorterat	Passion of the Christ, The	*blu-ray, #en/se
Hsorterat	Pet Sematary	*dvd, #en/se
Hsorterat	Pretty Woman	*dvd, #en/se, &ms
Hsorterat	Pearl Harbour	*br, #en/se
Hsorterat	Pyramidernas land	§dokumentär
#
Hsorterat	Queen, The	*dvd, #en/se
Hsorterat	Rallybrudar	*dvd, #se
Hsorterat	Rambo 4 - Rambo	*dvd, #en/se
Hsorterat	Rännstensungar	*dvd, #se
Hsorterat	Rec 1	*dvd, #en/se, &ms
Hsorterat	Rederiet - Jubileumsutgåva 1992-2002	*dvd, #se/?
Hsorterat	Reservoir Dogs	*dvd, #en/se
Hsorterat	Ring - 0	*dvd, #jp/se
Hsorterat	Ring 2	*dvd, #jp/se
Hsorterat	Ring, The	*dvd, #jp/se
Hsorterat	Robin Hood - Karlar i trikåer	§mel brooks
Hsorterat	Rose	*dvd, #en/se
Hsorterat	Roseanna	*dvd, #en/se
Hsorterat	Röda draken	*dvd, #en/se
#
Hsorterat	Sameblod	*dvd
Hsorterat	Saw 1	*dvd, #en/se, &ms
Hsorterat	Saw 6	*dvd, #en/se, &ms
Hsorterat	Schindler's List	*dvd, #en/se
Hsorterat	Snabba Cash	*dvd, #se
Hsorterat	Snabba Cash II	*br, #se
Hsorterat	Snabba Cash - Livet Deluxe	*dvd, #se
Hsorterat	Solstorm	*dvd, #en/se
Hsorterat	Soraya M.	*dvd, #en/se
Hsorterat	Starship Troopers	*dvd, #en/se, &ms
Hsorterat	Studio 54	*dvd, #en/se, &ms
Hsorterat	Snowman, The	*br, #en/se
Hsorterat	Superswede	*br, #en/se
Hsorterat	Scorpion King, The - The Rock	*dvd, #en/se
Hsorterat	Se till vänster där går en svensk	*dvd
Hsorterat	Seven	*dvd, #en/se
Hsorterat	Sex and the city	*dvd, #en/se
Hsorterat	Shakespeare in love	*dvd, #en/se
Hsorterat	Smala Sussie	*dvd, #se
Hsorterat	Snygg, Sexig & Singel	*dvd, #en/se
Hsorterat	Svinalängorna	*dvd, #se/se
#
Hsorterat	Talismanen	*dvd, #en/se
Hsorterat	Terminator 4 - Salvation	*dvd, #en/se, &ms
Hsorterat	Texas Chainsaw Massacre (2003)	*dvd, #en/se, &ms
Hsorterat	Titta hon snackar också!	*dvd, #en/se
Hsorterat	Tomie - Re-Birth	*dvd, #jp/se
Hsorterat	Tomie - Replay	*dvd, #jp/se
Hsorterat	Tomie - The final chapter	*dvd, #jp/se
Hsorterat	Tomie - Tomie	*dvd, #jp/se
Hsorterat	Too tired to die	*dvd, #en/se
Hsorterat	Top Gun	*dvd, #en/se, &ms
Hsorterat	The legend of Tarzan	*br, #en/se
Hsorterat	The man in the Iron Mask	*dvd, #en/se
Hsorterat	Tigerns rike	§dokumentär
Hsorterat	Tårtgeneralen	*dvd, #se/se
Hsorterat	Torka aldrig tårar utan handskar	*dvd, #se/se
#
Hsorterat	Underworld	*dvd, #en/se, &ms
Hsorterat	Valkyria	*dvd, #en/se
Hsorterat	Wyatt Earp (1994)	*dvd, #en/se
Hsorterat	Zozo	*dvd, #en/se
Hsorterat	Why him?	*dvd, #en/se
#
#
#
Hspel-ps	Buzz!	*ps3
Hspel-ps	Grand Theft Auto IV	*ps3
Hspel-ps	Heavy Rain	*ps3
Hspel-ps	Madagaskar 3	*ps3
Hspel-ps	Racedriver Grid	*ps3
Hspel-ps	Singstar ABBA	*ps3
Hspel-ps	SingStar Pop Hits	*ps2
Hspel-ps	Sims 3 Pets	*ps3
Hspel-ps	The Last of Us	*ps3
Hspel-ps	Beyond: Two Souls	*ps3
Hspel-ps	Lego Pirates of the Caribbean	*ps3
#
Hspel-nintendo	Harvest Moon DS	*nintendods
Hspel-nintendo	Mariokart DS	*nintendods
Hspel-nintendo	Sims	*nintendods
Hspel-nintendo	Sims 2 - Castaway	*nintendods
